Creating 3 nodes.
MOBILE: 
node 0 getnode 0x1f1de40 dst-> 0x1ff2cd0 10.0.0.1 source-> 0x1ff30f0
SENSOR: 
seconds interval2
node 1 getnode 0x1f1e3b0 dst-> 0x1ff4910 10.0.0.2 source-> 0x1ff4a70
BASE: 
node 2 getnode 0x1f1e140 dst-> 0x1ff5d00 10.0.0.3 source-> 0x1ff6330
Starting simulation for 2734 s, seed value 12345673
75.5 0 0 7 546 0 1053.3 952.67
75.5 0 0 0 0 0 1549.3 262.67
76.5 0 0 0 0 0 870.59 1009.5
76.5 0 0 7 546 0 1053.3 952.67
76.5 0 0 0 0 0 1549.3 262.67
77.5 0 0 0 0 0 870.59 1009.5
77.5 0 0 7 546 0 1053.3 952.67
77.5 0 0 0 0 0 1549.3 262.67
78.5 0 0 0 0 0 870.59 1009.6
78.5 0 0 7 546 0 1053.3 952.67
78.5 0 0 0 0 0 1549.3 262.67
79.5 0 0 0 0 0 870.58 1009.6
79.5 0 0 7 546 0 1053.3 952.67
79.5 0 0 0 0 0 1549.3 262.67
At time 80 created bundle with sequence number 1605 from 10.0.0.2 to 10.0.0.3
80.5 0 0 0 0 0 870.58 1009.6
80.5 0 0 8 624 0 1053.3 952.67
80.5 0 0 0 0 0 1549.3 262.67
81.5 0 0 0 0 0 870.55 1010.4
81.5 0 0 8 624 0 1053.3 952.67
81.5 0 0 0 0 0 1549.3 262.67
82.5 0 0 0 0 0 870.62 1011.7
82.5 0 0 8 624 0 1053.3 952.67
82.5 0 0 0 0 0 1549.3 262.67
83.5 0 0 0 0 0 871.91 1012.4
83.5 0 0 8 624 0 1053.3 952.67
83.5 0 0 0 0 0 1549.3 262.67
84.5 0 0 0 0 0 874.18 1012.5
84.5 0 0 8 624 0 1053.3 952.67
84.5 0 0 0 0 0 1549.3 262.67
85.5 0 0 0 0 0 876.35 1012.6
85.5 0 0 8 624 0 1053.3 952.67
85.5 0 0 0 0 0 1549.3 262.67
86.5 0 0 0 0 0 878.27 1012.7
86.5 0 0 8 624 0 1053.3 952.67
86.5 0 0 0 0 0 1549.3 262.67
87.5 0 0 0 0 0 879.68 1012.7
87.5 0 0 8 624 0 1053.3 952.67
87.5 0 0 0 0 0 1549.3 262.67
88.5 0 0 0 0 0 880.93 1012.7
88.5 0 0 8 624 0 1053.3 952.67
88.5 0 0 0 0 0 1549.3 262.67
89.5 0 0 0 0 0 881.88 1013.4
89.5 0 0 8 624 0 1053.3 952.67
89.5 0 0 0 0 0 1549.3 262.67
At time 90 created bundle with sequence number 1806 from 10.0.0.2 to 10.0.0.3
90.5 0 0 0 0 0 882.65 1014.2
90.5 0 0 9 702 0 1053.3 952.67
90.5 0 0 0 0 0 1549.3 262.67
91.5 0 0 0 0 0 883.4 1015.7
91.5 0 0 9 702 0 1053.3 952.67
91.5 0 0 0 0 0 1549.3 262.67
92.5 0 0 0 0 0 883.91 1016.8
92.5 0 0 9 702 0 1053.3 952.67
92.5 0 0 0 0 0 1549.3 262.67
93.5 0 0 0 0 0 884.33 1016.8
93.5 0 0 9 702 0 1053.3 952.67
93.5 0 0 0 0 0 1549.3 262.67
94.5 0 0 0 0 0 884.66 1016.8
