Creating 4 nodes.
MOBILE: 
0: [10.0.0.8, 50, 300, 101, 102, 101, 102, 101, 102, 101, 102, 0]
1: [10.0.0.2, -, 0, -, -, -, -, -, -, -, -, 1]
2: [10.0.0.3, -, -, -, -, -, -, -, -, -, -, 0]


node 0 getnode 0x159ee40 dst-> 0x167a270 10.0.0.1 source-> 0x167a440
SENSOR: 
seconds interval2
node 1 getnode 0x159f3b0 dst-> 0x167baf0 10.0.0.2 source-> 0x167bf10
SENSOR: 
seconds interval1
node 2 getnode 0x159f140 dst-> 0x167d120 10.0.0.3 source-> 0x167d7d0
BASE: 
node 3 getnode 0x159f230 dst-> 0x167ee30 10.0.0.4 source-> 0x167f250
Starting simulation for 800 s, seed value 12345671
69.5 0 0 0 0 0 870.6 1009.4
69.5 0 0 6 606 0 1053.3 952.67
69.5 0 0 13 1248 0 1100 726
69.5 0 0 0 0 0 1549.3 262.67
At time 70 created bundle with sequence number 1417 from 10.0.0.2 to 10.0.0.4
At time 70 created bundle with sequence number 1418 from 10.0.0.3 to 10.0.0.4
70.5 0 0 0 0 0 870.6 1009.4
70.5 0 0 7 707 0 1053.3 952.67
70.5 0 0 14 1344 0 1100 726
70.5 0 0 0 0 0 1549.3 262.67
71.5 0 0 0 0 0 870.6 1009.4
71.5 0 0 7 707 0 1053.3 952.67
71.5 0 0 14 1344 0 1100 726
71.5 0 0 0 0 0 1549.3 262.67
72.5 0 0 0 0 0 870.6 1009.5
72.5 0 0 7 707 0 1053.3 952.67
72.5 0 0 14 1344 0 1100 726
72.5 0 0 0 0 0 1549.3 262.67
73.5 0 0 0 0 0 870.6 1009.5
73.5 0 0 7 707 0 1053.3 952.67
73.5 0 0 14 1344 0 1100 726
73.5 0 0 0 0 0 1549.3 262.67
74.5 0 0 0 0 0 870.59 1009.5
74.5 0 0 7 707 0 1053.3 952.67
74.5 0 0 14 1344 0 1100 726
74.5 0 0 0 0 0 1549.3 262.67
At time 75 created bundle with sequence number 1519 from 10.0.0.3 to 10.0.0.4
75.5 0 0 0 0 0 870.59 1009.5
75.5 0 0 7 707 0 1053.3 952.67
75.5 0 0 15 1440 0 1100 726
75.5 0 0 0 0 0 1549.3 262.67
76.5 0 0 0 0 0 870.59 1009.5
76.5 0 0 7 707 0 1053.3 952.67
76.5 0 0 15 1440 0 1100 726
76.5 0 0 0 0 0 1549.3 262.67
77.5 0 0 0 0 0 870.59 1009.5
77.5 0 0 7 707 0 1053.3 952.67
77.5 0 0 15 1440 0 1100 726
77.5 0 0 0 0 0 1549.3 262.67
78.5 0 0 0 0 0 870.59 1009.6
78.5 0 0 7 707 0 1053.3 952.67
78.5 0 0 15 1440 0 1100 726
78.5 0 0 0 0 0 1549.3 262.67
79.5 0 0 0 0 0 870.58 1009.6
79.5 0 0 7 707 0 1053.3 952.67
79.5 0 0 15 1440 0 1100 726
79.5 0 0 0 0 0 1549.3 262.67
At time 80 created bundle with sequence number 1620 from 10.0.0.2 to 10.0.0.4
At time 80 created bundle with sequence number 1621 from 10.0.0.3 to 10.0.0.4
80.5 0 0 0 0 0 870.58 1009.6
80.5 0 0 8 808 0 1053.3 952.67
80.5 0 0 16 1536 0 1100 726
80.5 0 0 0 0 0 1549.3 262.67
81.5 0 0 0 0 0 870.55 1010.4
81.5 0 0 8 808 0 1053.3 952.67
81.5 0 0 16 1536 0 1100 726
81.5 0 0 0 0 0 1549.3 262.67
82.5 0 0 0 0 0 870.62 1011.7
82.5 0 0 8 808 0 1053.3 952.67
82.5 0 0 16 1536 0 1100 726
82.5 0 0 0 0 0 1549.3 262.67
83.5 0 0 0 0 0 871.91 1012.4
83.5 0 0 8 808 0 1053.3 952.67
83.5 0 0 16 1536 0 1100 726
83.5 0 0 0 0 0 1549.3 262.67
84.5 0 0 0 0 0 874.18 1012.5
84.5 0 0 8 808 0 1053.3 952.67
84.5 0 0 16 1536 0 1100 726
84.5 0 0 0 0 0 1549.3 262.67
