+22249999985.0ns; NODE: 0; POS: x=1434.67, y=798.336, z=0; VEL: x=0, y=0, z=0
+22500000000.0ns; NODE: 0; POS: x=1434.67, y=798.336, z=0; VEL: x=-2.79866, y=-18.0263, z=0
+22750000025.0ns; NODE: 0; POS: x=1433.97, y=793.83, z=0; VEL: x=0, y=0, z=0
+23000000000.0ns; NODE: 0; POS: x=1433.97, y=793.83, z=0; VEL: x=-5.1189, y=-18.3106, z=0
+23249999955.0ns; NODE: 0; POS: x=1432.69, y=789.252, z=0; VEL: x=0, y=0, z=0
+23500000000.0ns; NODE: 0; POS: x=1432.69, y=789.252, z=0; VEL: x=-6.83498, y=-17.89, z=0
+23750000017.0ns; NODE: 0; POS: x=1430.98, y=784.78, z=0; VEL: x=0, y=0, z=0
+24000000000.0ns; NODE: 0; POS: x=1430.98, y=784.78, z=0; VEL: x=-8.10577, y=-17.3151, z=0
+24250000016.0ns; NODE: 0; POS: x=1428.95, y=780.451, z=0; VEL: x=0, y=0, z=0
+24500000000.0ns; NODE: 0; POS: x=1428.95, y=780.451, z=0; VEL: x=-9.60227, y=-16.7391, z=0
+24750000009.0ns; NODE: 0; POS: x=1426.55, y=776.266, z=0; VEL: x=0, y=0, z=0
+25000000000.0ns; NODE: 0; POS: x=1426.55, y=776.266, z=0; VEL: x=-10.9396, y=-15.7063, z=0
+25249999981.0ns; NODE: 0; POS: x=1423.82, y=772.339, z=0; VEL: x=0, y=0, z=0
+25500000000.0ns; NODE: 0; POS: x=1423.82, y=772.339, z=0; VEL: x=-12.3182, y=-14.0742, z=0
+25750000055.0ns; NODE: 0; POS: x=1420.74, y=768.821, z=0; VEL: x=0, y=0, z=0
+26000000000.0ns; NODE: 0; POS: x=1420.74, y=768.821, z=0; VEL: x=-12.831, y=-11.3428, z=0
+26249999932.0ns; NODE: 0; POS: x=1417.53, y=765.985, z=0; VEL: x=0, y=0, z=0
+26500000000.0ns; NODE: 0; POS: x=1417.53, y=765.985, z=0; VEL: x=-14.1134, y=-9.96963, z=0
+26750000015.0ns; NODE: 0; POS: x=1414, y=763.493, z=0; VEL: x=0, y=0, z=0
+27000000000.0ns; NODE: 0; POS: x=1414, y=763.493, z=0; VEL: x=-15.7419, y=-8.57049, z=0
+27249999952.0ns; NODE: 0; POS: x=1410.07, y=761.35, z=0; VEL: x=0, y=0, z=0
+27500000000.0ns; NODE: 0; POS: x=1410.07, y=761.35, z=0; VEL: x=-16.5458, y=-7.4012, z=0
+27749999986.0ns; NODE: 0; POS: x=1405.93, y=759.5, z=0; VEL: x=0, y=0, z=0
+28000000000.0ns; NODE: 0; POS: x=1405.93, y=759.5, z=0; VEL: x=-17.5811, y=-5.08269, z=0
+28249999955.0ns; NODE: 0; POS: x=1401.54, y=758.229, z=0; VEL: x=0, y=0, z=0
+28500000000.0ns; NODE: 0; POS: x=1401.54, y=758.229, z=0; VEL: x=-17.8433, y=-2.69533, z=0
+28750000015.0ns; NODE: 0; POS: x=1397.08, y=757.555, z=0; VEL: x=0, y=0, z=0
+29000000000.0ns; NODE: 0; POS: x=1397.08, y=757.555, z=0; VEL: x=-18.3469, y=-0.663822, z=0
+29250000005.0ns; NODE: 0; POS: x=1392.49, y=757.389, z=0; VEL: x=0, y=0, z=0
+29500000000.0ns; NODE: 0; POS: x=1392.49, y=757.389, z=0; VEL: x=-18.5738, y=0.725746, z=0
+29749999978.0ns; NODE: 0; POS: x=1387.85, y=757.571, z=0; VEL: x=0, y=0, z=0
+30000000000.0ns; NODE: 0; POS: x=1387.85, y=757.571, z=0; VEL: x=-18.8477, y=1.12989, z=0
+30249999955.0ns; NODE: 0; POS: x=1383.13, y=757.853, z=0; VEL: x=0, y=0, z=0
+30500000000.0ns; NODE: 0; POS: x=1383.13, y=757.853, z=0; VEL: x=-18.0631, y=0.967285, z=0
+30750000007.0ns; NODE: 0; POS: x=1378.62, y=758.095, z=0; VEL: x=0, y=0, z=0
+31000000000.0ns; NODE: 0; POS: x=1378.62, y=758.095, z=0; VEL: x=-17.8764, y=0.757403, z=0
+31249999944.0ns; NODE: 0; POS: x=1374.15, y=758.285, z=0; VEL: x=0, y=0, z=0
+31500000000.0ns; NODE: 0; POS: x=1374.15, y=758.285, z=0; VEL: x=-18.2397, y=0.235387, z=0
+31750000002.0ns; NODE: 0; POS: x=1369.59, y=758.343, z=0; VEL: x=0, y=0, z=0
+32000000000.0ns; NODE: 0; POS: x=1369.59, y=758.343, z=0; VEL: x=-17.8388, y=-0.107373, z=0
+32249999961.0ns; NODE: 0; POS: x=1365.13, y=758.317, z=0; VEL: x=0, y=0, z=0
+32500000000.0ns; NODE: 0; POS: x=1365.13, y=758.317, z=0; VEL: x=-16.3796, y=-0.219701, z=0
+32750000050.0ns; NODE: 0; POS: x=1361.03, y=758.262, z=0; VEL: x=0, y=0, z=0
+33000000000.0ns; NODE: 0; POS: x=1361.03, y=758.262, z=0; VEL: x=-16.8085, y=-0.162829, z=0
+33249999980.0ns; NODE: 0; POS: x=1356.83, y=758.221, z=0; VEL: x=0, y=0, z=0
+33500000000.0ns; NODE: 0; POS: x=1356.83, y=758.221, z=0; VEL: x=-16.4831, y=-0.224585, z=0
+33750000065.0ns; NODE: 0; POS: x=1352.71, y=758.165, z=0; VEL: x=0, y=0, z=0
+34000000000.0ns; NODE: 0; POS: x=1352.71, y=758.165, z=0; VEL: x=-17.2998, y=0.506905, z=0
+34249999973.0ns; NODE: 0; POS: x=1348.39, y=758.291, z=0; VEL: x=0, y=0, z=0
+34500000000.0ns; NODE: 0; POS: x=1348.39, y=758.291, z=0; VEL: x=-17.9903, y=1.77644, z=0
+34749999957.0ns; NODE: 0; POS: x=1343.89, y=758.736, z=0; VEL: x=0, y=0, z=0
+35000000000.0ns; NODE: 0; POS: x=1343.89, y=758.736, z=0; VEL: x=-18.1653, y=2.7157, z=0
+35249999938.0ns; NODE: 0; POS: x=1339.35, y=759.415, z=0; VEL: x=0, y=0, z=0
+35500000000.0ns; NODE: 0; POS: x=1339.35, y=759.415, z=0; VEL: x=-17.2642, y=2.622, z=0
+35750000056.0ns; NODE: 0; POS: x=1335.03, y=760.07, z=0; VEL: x=0, y=0, z=0
+36000000000.0ns; NODE: 0; POS: x=1335.03, y=760.07, z=0; VEL: x=-15.9666, y=2.32745, z=0
+36250000027.0ns; NODE: 0; POS: x=1331.04, y=760.652, z=0; VEL: x=0, y=0, z=0
+36500000000.0ns; NODE: 0; POS: x=1331.04, y=760.652, z=0; VEL: x=-15.9606, y=1.58345, z=0
+36749999964.0ns; NODE: 0; POS: x=1327.05, y=761.048, z=0; VEL: x=0, y=0, z=0
+37000000000.0ns; NODE: 0; POS: x=1327.05, y=761.048, z=0; VEL: x=-16.2058, y=0.633443, z=0
+37250000056.0ns; NODE: 0; POS: x=1323, y=761.206, z=0; VEL: x=0, y=0, z=0
+37500000000.0ns; NODE: 0; POS: x=1323, y=761.206, z=0; VEL: x=-16.3379, y=0.115326, z=0
+37750000052.0ns; NODE: 0; POS: x=1318.91, y=761.235, z=0; VEL: x=0, y=0, z=0
+38000000000.0ns; NODE: 0; POS: x=1318.91, y=761.235, z=0; VEL: x=-17.2614, y=0.0906364, z=0
+38249999933.0ns; NODE: 0; POS: x=1314.6, y=761.258, z=0; VEL: x=0, y=0, z=0
+38500000000.0ns; NODE: 0; POS: x=1314.6, y=761.258, z=0; VEL: x=-17.889, y=0.319556, z=0
+38749999968.0ns; NODE: 0; POS: x=1310.13, y=761.337, z=0; VEL: x=0, y=0, z=0
+39000000000.0ns; NODE: 0; POS: x=1310.13, y=761.337, z=0; VEL: x=-18.1844, y=-0.00892416, z=0
+39250000022.0ns; NODE: 0; POS: x=1305.58, y=761.335, z=0; VEL: x=0, y=0, z=0
+39500000000.0ns; NODE: 0; POS: x=1305.58, y=761.335, z=0; VEL: x=-17.6166, y=0.0858769, z=0
+39750000029.0ns; NODE: 0; POS: x=1301.18, y=761.357, z=0; VEL: x=0, y=0, z=0
+40000000000.0ns; NODE: 0; POS: x=1301.18, y=761.357, z=0; VEL: x=-16.6747, y=0.484855, z=0
+40250000041.0ns; NODE: 0; POS: x=1297.01, y=761.478, z=0; VEL: x=0, y=0, z=0
+40500000000.0ns; NODE: 0; POS: x=1297.01, y=761.478, z=0; VEL: x=-19.005, y=-0.469546, z=0
+40750000002.0ns; NODE: 0; POS: x=1292.26, y=761.361, z=0; VEL: x=0, y=0, z=0
+41000000000.0ns; NODE: 0; POS: x=1292.26, y=761.361, z=0; VEL: x=-18.368, y=-0.366955, z=0
+41250000061.0ns; NODE: 0; POS: x=1287.66, y=761.269, z=0; VEL: x=0, y=0, z=0
+41500000000.0ns; NODE: 0; POS: x=1287.66, y=761.269, z=0; VEL: x=-17.8295, y=-0.479936, z=0
+41750000031.0ns; NODE: 0; POS: x=1283.21, y=761.149, z=0; VEL: x=0, y=0, z=0
+42000000000.0ns; NODE: 0; POS: x=1283.21, y=761.149, z=0; VEL: x=-17.4125, y=-0.29929, z=0
+42249999969.0ns; NODE: 0; POS: x=1278.85, y=761.074, z=0; VEL: x=0, y=0, z=0
+42500000000.0ns; NODE: 0; POS: x=1278.85, y=761.074, z=0; VEL: x=-17.8602, y=-0.570987, z=0
